id;number;room_id
1;-1;1
2;-1;2
3;-1;4
4;1;5
5;2;5
6;3;5
7;4;5
8;5;5
9;6;5
10;1;6
11;2;6
12;3;6
13;4;6
14;5;6
15;6;6
16;7;6
17;8;6
18;9;6
19;10;6
20;1;7
21;2;7
22;3;7
23;4;7
24;5;7
25;6;7
26;7;7
27;8;7
28;9;7
29;10;7
30;11;7
31;12;7
32;1;8
33;2;8
34;3;8
35;4;8
36;5;8
37;-1;10
38;-1;17
39;1;18
40;2;18
41;3;18
42;4;18
43;5;18
44;6;18
45;-1;19
46;13;36
47;14;36
48;15;36
49;16;36
50;17;36
51;13;37
52;14;37
53;15;37
54;16;37
55;17;37
56;18;37
57;13;38
58;14;38
59;15;38
60;16;38
61;17;38
62;18;38
63;13;39
64;14;39
65;1;40
66;2;40
67;3;40
68;4;40
69;5;40
70;6;40
71;7;40
72;8;40
73;1;41
74;2;41
75;3;41
76;4;41
77;5;41
78;6;41
79;7;41
80;8;41
81;9;41
82;10;41
83;1;42
84;2;42
85;3;42
86;4;42
87;5;42
88;6;42
89;7;42
90;8;42
91;1;43
92;2;43
93;3;43
94;4;43
95;5;43
96;6;43
97;7;43
98;8;43
99;9;43
100;1;44
101;2;44
102;3;44
103;4;44
104;5;44
105;6;44
106;7;44
107;8;44
108;1;45
109;2;45
110;3;45
111;4;45
112;5;45
113;-1;56
114;13;60
115;14;60
116;15;60
117;16;60
118;17;60
119;13;61
120;14;61
121;15;61
122;16;61
123;17;61
124;13;62
125;14;62
126;15;62
127;16;62
128;17;62
129;13;63
130;14;63
131;15;63
132;16;63
133;17;63
134;13;64
135;14;64
136;15;64
137;13;65
138;14;65
139;15;65
140;16;65
141;17;65
